Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Label
53,23512,1,1,56,117,56.0,117.0,7357.944879,85.06294658,BENIGN
80,985458,3,4,431,2267,143.6666667,566.75,2737.813281,7.103296132,BENIGN
5549,68,1,1,6,6,6.0,6.0,176470.5882,29411.76471,BENIGN
53,71812,1,1,56,272,56.0,272.0,4567.481758,27.85049852,BENIGN
37238,50,1,2,0,0,0.0,0.0,0.0,60000.0,BENIGN
53,140997,1,1,45,252,45.0,252.0,2106.427796,14.18469897,BENIGN
53,162,2,2,80,112,40.0,56.0,1185185.185,24691.35802,BENIGN
53143,59,1,1,0,0,0.0,0.0,0.0,33898.30508,BENIGN
80,5529184,6,6,2085,3207,347.5,534.5,957.1032543,2.170302164,BENIGN
50310,234,1,1,0,0,0.0,0.0,0.0,8547.008547,BENIGN
80,5450884,3,1,12,0,4.0,0.0,2.201477779,0.733825926,BENIGN
443,721258,9,7,560,5267,62.22222222,752.4285714,8078.939852,22.18346278,BENIGN
53,23474,1,1,45,61,45.0,61.0,4515.634319,85.20064752,BENIGN
57447,42,1,1,6,6,6.0,6.0,285714.2857,47619.04762,BENIGN
443,106,2,0,0,0,0.0,0.0,0.0,18867.92453,BENIGN
443,117963230,16,16,1281,4636,80.0625,289.75,50.15969807,0.271270971,BENIGN
443,62700541,7,2,169,92,24.14285714,46.0,4.162643509,0.143539431,BENIGN
80,114430053,15,15,432,1963,28.8,130.8666667,20.9298164,0.26216889,BENIGN
53,48240,1,1,58,107,58.0,107.0,3420.39801,41.45936982,BENIGN
54323,89324,1,5,6,30,6.0,6.0,403.0271819,67.17119699,BENIGN
53,252,2,2,46,46,23.0,23.0,365079.3651,15873.01587,BENIGN
60030,63,1,1,0,0,0.0,0.0,0.0,31746.03175,BENIGN
80,5575316,3,1,0,0,0.0,0.0,0.0,0.717448123,BENIGN
53,214,2,2,64,120,32.0,60.0,859813.0841,18691.58879,BENIGN
57079,3,2,0,0,0,0.0,0.0,0.0,666666.6667,BENIGN
53,48965,2,2,78,184,39.0,92.0,5350.760747,81.69100378,BENIGN
61455,67,1,1,0,0,0.0,0.0,0.0,29850.74627,BENIGN
53,206,2,2,78,252,39.0,126.0,1601941.748,19417.47573,BENIGN
53,152,2,2,60,116,30.0,58.0,1157894.737,26315.78947,BENIGN
443,5168361,8,5,395,3203,49.375,640.6,696.1588016,2.515304175,BENIGN
55974,73580093,6,9,11613,62,1935.5,6.888888889,158.6706339,0.203859487,BENIGN
53,205,2,2,64,204,32.0,102.0,1307317.073,19512.19512,BENIGN
44677,2,2,0,31,0,15.5,0.0,15500000.0,1000000.0,BENIGN
80,11340833,53,71,100516,48630,1896.528302,684.9295775,13151.23854,10.9339411,BENIGN
50047,81360683,1,5,6,30,6.0,6.0,0.442474162,0.073745694,BENIGN
22,1362474,41,44,2664,6954,64.97560976,158.0454545,7059.217277,62.3865116,BENIGN
80,87902401,18,16,1765,2115,98.05555556,132.1875,44.13986371,0.38679262,BENIGN
80,23645,1,1,0,0,0.0,0.0,0.0,84.58447875,BENIGN
53,171,2,2,66,386,33.0,193.0,2643274.854,23391.81287,BENIGN
62956,8016921,1,5,1375,24,1375.0,4.8,174.5058982,0.748417004,BENIGN
443,29549,1,2,0,38,0.0,19.0,1285.999526,101.5262784,BENIGN
49800,90,1,1,0,0,0.0,0.0,0.0,22222.22222,BENIGN
80,13634546,105,178,2007,338842,19.11428571,1903.606742,24998.92552,20.75609998,BENIGN
443,57,2,0,12,0,6.0,0.0,210526.3158,35087.7193,BENIGN
51963,417072,6,2,11601,26,1933.5,13.0,27877.68059,19.18134039,BENIGN
53,40410725,2,2,96,429,48.0,214.5,12.99160062,0.098983624,BENIGN
53,23639,2,2,92,254,46.0,127.0,14636.82897,169.2118956,BENIGN
80,9541,2,0,0,0,0.0,0.0,0.0,209.621633,BENIGN
50057,9475083,7,9,12976,56,1853.714286,6.222222222,1375.396923,1.688639561,BENIGN
22,169,1,1,0,0,0.0,0.0,0.0,11834.31953,BENIGN
443,115337464,20,15,1078,2503,53.9,166.8666667,31.04802096,0.30345734,BENIGN
443,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
80,32149174,6,6,362,5234,60.33333333,872.3333333,174.06357,0.373259979,BENIGN
443,6336740,38,43,901,75288,23.71052632,1750.883721,12023.3748,12.78259799,BENIGN
55806,70,1,1,6,6,6.0,6.0,171428.5714,28571.42857,BENIGN
53,48137,1,1,47,63,47.0,63.0,2285.144483,41.54808152,BENIGN
53,193,2,2,98,130,49.0,65.0,1181347.15,20725.3886,BENIGN
53,48732,2,2,94,268,47.0,134.0,7428.383814,82.0815891,BENIGN
80,15157,1,1,6,6,6.0,6.0,791.7133997,131.9522333,BENIGN
53,23669,1,1,95,223,95.0,223.0,13435.29511,84.49871139,BENIGN
63491,82419272,6,9,11613,62,1935.5,6.888888889,141.6537627,0.181996269,BENIGN
53,23405,1,1,58,74,58.0,74.0,5639.820551,85.45182653,BENIGN
53,49930,2,2,92,170,46.0,85.0,5247.346285,80.11215702,BENIGN
80,5461978,11,16,352,21992,32.0,1374.5,4090.825705,4.943264144,BENIGN
80,54677,4,4,438,860,109.5,215.0,23739.41511,146.3138065,BENIGN
53,48223,1,1,41,97,41.0,97.0,2861.704996,41.47398544,BENIGN
58949,23580,6,2,11601,26,1933.5,13.0,493087.3622,339.2705683,BENIGN
61226,91181,6,3,11607,26,1934.5,8.666666667,127581.404,98.70477402,BENIGN
53,60808,4,2,140,174,35.0,87.0,5163.794238,98.67122747,BENIGN
54758,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
53,204,2,2,88,188,44.0,94.0,1352941.176,19607.84314,BENIGN
80,19887001,5,5,448,1780,89.6,356.0,112.0329807,0.502841027,BENIGN
53,84570,2,2,60,264,30.0,132.0,3831.145796,47.29809625,BENIGN
53,204,2,2,64,204,32.0,102.0,1313725.49,19607.84314,BENIGN
53,62212,2,2,62,174,31.0,87.0,3793.480357,64.29627725,BENIGN
443,80278422,16,17,1939,7053,121.1875,414.8823529,112.0101738,0.411069366,BENIGN
443,3939468,7,6,1660,3369,237.1428571,561.5,1276.568308,3.299937961,BENIGN
80,115711251,17,17,407,5718,23.94117647,336.3529412,52.933487,0.293834867,BENIGN
53,909,2,2,94,206,47.0,103.0,330033.0033,4400.440044,BENIGN
80,65232269,11,11,346,308,31.45454545,28.0,10.02571289,0.337256397,BENIGN
53,92,2,2,60,344,30.0,172.0,4391304.348,43478.26087,BENIGN
60979,9415958,1,6,6,36,6.0,6.0,4.460512674,0.743418779,BENIGN
53,203,2,2,74,204,37.0,102.0,1369458.128,19704.4335,BENIGN
60897,1273325,1,6,6,36,6.0,6.0,32.98450906,5.497418177,BENIGN
80,50792,1,1,0,0,0.0,0.0,0.0,39.37627973,BENIGN
53,61057,4,2,148,262,37.0,131.0,6715.036769,98.26883076,BENIGN
55205,3852,3,0,31,0,10.33333333,0.0,8047.767394,778.8161994,BENIGN
56562,1306,2,0,12,0,6.0,0.0,9188.361409,1531.393568,BENIGN
53,8041238,10,2,450,90,45.0,45.0,67.15383875,1.492307528,BENIGN
52590,3,2,0,0,0,0.0,0.0,0.0,666666.6667,BENIGN
53,99938,2,2,78,202,39.0,101.0,2801.737077,40.02481539,BENIGN
443,158,2,0,0,0,0.0,0.0,0.0,12658.22785,BENIGN
465,49,3,0,37,0,12.33333333,0.0,755102.0408,61224.4898,BENIGN
80,108668,3,2,548,368,182.6666667,184.0,8429.344425,46.01170538,BENIGN
57153,1455,2,0,0,0,0.0,0.0,0.0,1374.570447,BENIGN
53,122003,2,2,68,254,34.0,127.0,2639.279362,32.78607903,BENIGN
58258,392501,6,2,11607,26,1934.5,13.0,29638.14105,20.38211368,BENIGN
49843,51182,6,2,11601,26,1933.5,13.0,227169.7081,156.304951,BENIGN
443,465,3,1,0,0,0.0,0.0,0.0,8602.150538,BENIGN
53,158,2,2,66,98,33.0,49.0,1037974.684,25316.4557,BENIGN
53,405,1,1,80,162,80.0,162.0,597530.8642,4938.271605,BENIGN
9523,5,3,0,18,0,6.0,0.0,3600000.0,600000.0,BENIGN
443,443780,7,11,1375,5990,196.4285714,544.5454545,16596.06111,40.56063815,BENIGN
53,23578,1,1,47,111,47.0,111.0,6701.1621,84.82483671,BENIGN
53,61108,4,2,168,310,42.0,155.0,7822.216404,98.18681678,BENIGN
53,1062,2,2,64,152,32.0,76.0,203389.8305,3766.478343,BENIGN
61093,85,1,1,6,6,6.0,6.0,141176.4706,23529.41176,BENIGN
64197,2153,2,1,0,0,0.0,0.0,0.0,1393.404552,BENIGN
53,164,2,2,60,252,30.0,126.0,1902439.024,24390.2439,BENIGN
53,70753814,2,2,105,266,52.5,133.0,5.243533585,0.056534055,BENIGN
443,1798721,33,30,805,37942,24.39393939,1264.733333,21541.41748,35.02488713,BENIGN
443,34900,1,1,6,6,6.0,6.0,343.8395415,57.30659026,BENIGN
443,4092004,5,1,135,46,27.0,46.0,44.23260583,1.466274227,BENIGN
443,60941834,14,13,1340,3587,95.71428571,275.9230769,80.84758329,0.443045413,BENIGN
33839,10756662,1,5,6,30,6.0,6.0,3.34676315,0.557793858,BENIGN
54412,2,2,0,12,0,6.0,0.0,6000000.0,1000000.0,BENIGN
53,48712,2,2,68,220,34.0,110.0,5912.30087,82.11528987,BENIGN
3268,117,2,2,114,12,57.0,6.0,1076923.077,34188.03419,BENIGN
3268,93402420,28,14,5642,1008,201.5,72.0,71.19729874,0.44966715,BENIGN
58056,29,1,1,0,0,0.0,0.0,0.0,68965.51724,BENIGN
53,371,2,2,78,134,39.0,67.0,571428.5714,10781.67116,BENIGN
53,214,2,2,70,102,35.0,51.0,803738.3178,18691.58879,BENIGN
53,235,2,2,64,204,32.0,102.0,1140425.532,17021.2766,BENIGN
443,31224594,34,38,881,41820,25.91176471,1100.526316,1367.543802,2.305874658,BENIGN
443,118917652,12,14,12,31,1.0,2.214285714,0.361594761,0.218638693,BENIGN
53,194,2,2,64,96,32.0,48.0,824742.268,20618.5567,BENIGN
53,230,2,2,66,234,33.0,117.0,1304347.826,17391.30435,BENIGN
53,169303,2,2,72,186,36.0,93.0,1523.895028,23.62627951,BENIGN
52685,142,1,1,0,0,0.0,0.0,0.0,14084.50704,BENIGN
80,5563098,4,2,0,0,0.0,0.0,0.0,1.078535737,BENIGN
443,166,2,0,12,0,6.0,0.0,72289.15663,12048.19277,BENIGN
29654,11046411,1,6,1375,30,1375.0,5.0,127.1906323,0.633689983,BENIGN
80,78423,3,5,1680,309,560.0,61.8,25362.45744,102.0108897,BENIGN
58460,3,2,0,0,0,0.0,0.0,0.0,666666.6667,BENIGN
54501,72676496,7,9,11613,62,1659.0,6.888888889,160.643408,0.220153707,BENIGN
